title,description,animal_type,breed,units,avg_weight_kg,avg_age_years,price,price_unit,is_certified,health_certificates,location_city,location_department,status,cover_image_url,documents
OXITETRACICLINA - Porcinos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 500 ml.. Especie destino: Porcinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,porcino,Porcinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
OXITETRACICLINA - Caninos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 500 ml.. Especie destino: Caninos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,bovino,Caninos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
OXITETRACICLINA - Felinos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 500 ml.. Especie destino: Felinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,bovino,Felinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
OXITETRACICLINA - Aves,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 500 ml.. Especie destino: Aves. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,avicola,Aves,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
SULFAMETAZINA - Bovinos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 250 y 500 ml.. Especie destino: Bovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,bovino,Bovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
SULFAMETAZINA - Equinos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 250 y 500 ml.. Especie destino: Equinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,equino,Equinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
SULFAMETAZINA - Ovinos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 250 y 500 ml.. Especie destino: Ovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,ovino,Ovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
SULFAMETAZINA - Porcinos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 250 y 500 ml.. Especie destino: Porcinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,porcino,Porcinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
SULFAMETAZINA - Caninos,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 250 y 500 ml.. Especie destino: Caninos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,bovino,Caninos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
SULFAMETAZINA - Aves,Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 250 y 500 ml.. Especie destino: Aves. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.,avicola,Aves,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
TILOSINA - Bovinos,"Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 25, 100 y 250 ml.. Especie destino: Bovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",bovino,Bovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
TILOSINA - Porcinos,"Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frascos por 25, 100 y 250 ml.. Especie destino: Porcinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",porcino,Porcinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
TRIPEN L.A. - Bovinos,"Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frasco individual de 3'000.000, 6'000.000 y 9'000.000 de U.I. con su diluyente.. Especie destino: Bovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",bovino,Bovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
TRIPEN L.A. - Equinos,"Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frasco individual de 3'000.000, 6'000.000 y 9'000.000 de U.I. con su diluyente.. Especie destino: Equinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",equino,Equinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
TRIPEN L.A. - Ovinos,"Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frasco individual de 3'000.000, 6'000.000 y 9'000.000 de U.I. con su diluyente.. Especie destino: Ovinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",ovino,Ovinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
TRIPEN L.A. - Caprinos,"Producto/insumo pecuario de datos abiertos. Clase: Antibióticos. Presentación: Frasco individual de 3'000.000, 6'000.000 y 9'000.000 de U.I. con su diluyente.. Especie destino: Caprinos. Fuente: Datos_Abiertos_Animales_de_Pro_20260515.",caprino,Caprinos,1,,,0,total,true,Datos abiertos ICA,Colombia,Colombia,active,https://images.unsplash.com/photo-1516467508483-a7212febe31a?w=800&q=80,[]
